DLR-00041,SSS,16000.0,03-10-21,16k for a deal to keep relationship in 2021,0,16000.0,Sun Solar Solutions Inc
OUR11751,Valley Voltage,-13725.00,04-25-23,This account should be under Vantage Solar,0,-13725.00,Valley Voltage LLC
OUR12472,SE of AZ,3850.00,04-25-23,Competing account approved by Josh Morton,0,3850.00,Solar Experts of AZ
DLR-00227,Alpha Electric,14900.00,04-26-23,Advance - covering May Blitz expenses,0,14900.00,Alpha Electric Group
DLR-00228,Alpha Electric,-14900.00,04-26-23,Advance payback - $0.10/Watt,0,-14900.00,Alpha Electric Group
DLR-00229,Energy Bros USA,70000.00,04-26-23,Advance approved by Caleb,0,70000.00,Energy Bros USA Inc
DLR-00230,Energy Bros USA,-70000.00,04-26-23,Advance payback $.10/Watt,0,-70000.00,Energy Bros USA Inc
DLR-00231,Sun Source,-1350.00,04-28-23," $2,700 chargeback, which both parties have agreed to split equally. - approved by Josh M.",0,-1350.00,Sun Source Energy
DLR-00232,Clean Earth,1350.00,04-28-23," $2,700 chargeback, which both parties have agreed to split equally. - approved by Josh M.",0,1350.00,Clean Earth Consultants
OUR13045,Luxor Energy,-3000.00,05-03-23,"M1 offset, processed payment to Impact Your Energy",-3000.00,0.0,Luxor Energy 
OUR13088,Luxor Energy,-3000.00,05-03-23,"M1 offset, processed payment to Impact Your Energy",-3000.00,0.0,Luxor Energy 
OUR13221,Luxor Energy,-3000.00,05-03-23,"M1 offset, processed payment to Impact Your Energy",0,-3000.00,Luxor Energy 
OUR13362,Luxor Energy,-3000.00,05-03-23,"M1 offset, processed payment to Impact Your Energy",-3000.00,0.0,Luxor Energy 
OUR13278,Luxor Energy,-1622.50,05-03-23,"M1 offset, processed payment to Impact Your Energy",-1622.50,0.0,Luxor Energy 
OUR13482,Impact Your Energy,-3000.00,05-03-23,"M1 offset, processed payment to Impact Your Energy",0,-3000.00,Impact Your Energy LLC 
DLR-00239,Energy Bros USA,0.0,05-03-23,Fine Deductions per Matt S. to be paid by SR approved by Josh Morton | Saul Tamez is a terminated rep and has zero pipeline,0,0.0,Energy Bros USA Inc
OUR13549,Energy Bros USA,-1000.00,05-04-23,Account should be assigned to Solar X per Matthew Sessa,0,-1000.00,Energy Bros USA Inc
OUR12908,Energy Bros USA,-1000.00,05-04-23,Account should be assigned to Onyx Solar,0,-1000.00,Energy Bros USA Inc
DLR-00242,OWE-DD,1282.50,05-04-23,OR. on Dennis Sanchez' April jobs - 25.65kW * $50,0,1282.50,Dealer Direct 
OUR11536,Vantage Solar,1879.56,05-04-23,cancelation was OWE's fault approved by Josh Morton,0,1879.56,Vantage Solar LLC
OUR12362,PHX Solar Power,-1000.00,05-04-23,M1 clawback - HO changed dealers,0,-1000.00,Phoenix Solar Power
DLR-00245,Solito,15000.00,05-04-23,"$15k advance | 7,500 to be paid out immediately, the remaining over the next 1-2 weeks ",7500.00,7500.00,Go Solito LLC
DLR-00246,Solito,-15000.00,05-04-23,to be paid back in addition to the $19k owed to us,-15000.00,0.0,Go Solito LLC
OUR09577,Switch Solar,2000.00,05-09-23,OWE will cover M1 payment approved by management,0,2000.00,Switch Solar
DLR-00248,AAC,10000.00,05-10-23,Advance approved by Caleb,0,10000.00,Formerly OWE-NM
DLR-00249,AAC,-10000.00,05-10-23,Advance payback $.20/Watt,-10000.00,0.0,Formerly OWE-NM
DLR-00250,SSS,2000.00,05-10-23,"Erroneous payment, should be SS of AZ",0,2000.00,Sun Solar Solutions Inc
DLR-00251,SSS,-2000.00,05-10-23,"Erroneous payment chargeback, should be SS of AZ",0,-2000.00,Sun Solar Solutions Inc
DLR-00252,MARS,561.84,05-15-23,Office space reimbursement approved by Caleb,0,561.84,Mark Anthony Ramirez Solar
DLR-00268,MARS,12500.00,05-21-23,Advance approved by Caleb,0,12500.00,Mark Anthony Ramirez Solar
DLR-00269,MARS,-12500.00,05-21-23,Advance Payback at .10c per watt installed,-12500.00,0.0,Mark Anthony Ramirez Solar
DLR-00253,Clean Skies,22558.36,05-24-23,Air BnB costs for their blitz in NM | .10c/watt,0,22558.36,Clean Skies Technologies
DLR-00254,Clean Skies,-16623.95,05-24-23,Air BnB costs for their blitz in NM payback | .10c/watt,0,-16623.95,Clean Skies Technologies
DLR-00255,Light Energy,2600.00,05-25-23,Monthly bonus for May 2023 | Office space approved by Josh Morton,0,2600.00,Schaper Cluff Solar LLC dba Light Energy 
DLR-00256,Light Energy,2600.00,05-25-23,Monthly bonus for June 2023 | Office space approved by Josh Morton,0,2600.00,Schaper Cluff Solar LLC dba Light Energy 
DLR-00257,United Wholesale,250.00,05-26-23,Credit for delay in receiving funds - requested by Caleb A.,0,250.00,United Wholesale Solar 
DLR-00258,Alpha Electric,22322.31,05-27-23,Housing for July,0,22322.31,Alpha Electric Group
DLR-00259,Alpha Electric,-22322.31,05-27-23,Repay of Housing for July: 10c /watt,0,-22322.31,Alpha Electric Group
DLR-00260,WhyGen,4500.00,05-30-23,Deposit for Albuq Sales office - this will not be paid back - Josh M approved,0,4500.00,WhyGen LLC
DLR-00261,WhyGen,30000.00,5/31/2023,30k advance approved by Caleb A.,0,30000.00,WhyGen LLC
DLR-00262,WhyGen,-30000.00,5/31/2023,Advance payback - advance to be clawed back $2k a week for 15 weeks,0,-30000.00,WhyGen LLC
OUR12431,Alpha Electric,4000.00,05-31-23,OWE will cover M1 payment approved by management,0,4000.00,Alpha Electric Group
DLR-00264,South Desert,1868.83,06-02-23,"Advance remaining pipeline - requested by Josh, Approved by Caleb",0,1868.83,South Desert Energy LLC 
DLR-00265,South Desert,-1868.83,06-02-23,Advance Payback,0,-1868.83,South Desert Energy LLC 
DLR-00266,OWE-DD,25000.00,06-08-23,Advance approved by Caleb,0,25000.00,Dealer Direct 
DLR-00267,OWE-DD,-25000.00,06-08-23,Advance Payback at .10c per watt installed,0,-25000.00,Dealer Direct 
OUR13816,Solar Movement,135.00,06-14-23,Genesis Power Dealer Override approved by Josh Morton,0,135.00,Solar Movement LLC 
OUR13842,Solar Movement,225.00,06-14-23,Genesis Power Dealer Override approved by Josh Morton,0,225.00,Solar Movement LLC 
OUR13624,PHX Solar Power,-5692.50,06-19-23,Account was transferred to Decisive Solar approved by Josh Morton,0,-5692.50,Phoenix Solar Power
OUR13498,PHX Solar Power,-1000.00,06-19-23,Account was transferred to Decisive Solar approved by Josh Morton,0,-1000.00,Phoenix Solar Power
OUR12124,Peak Power,1645.00,06-19-23,Customer paid the roof work and cancelation fee; Credit requested by Josh Morton,0,1645.00,Peak Power
OUR11688,Light Energy,500.00,06-19-23,competing account that ended up being paid out to Vantage Solar; Credit requested by Josh Morton,0,500.00,Schaper Cluff Solar LLC dba Light Energy 
DLR-00276,MARS,6000.00,06-19-23,Loan from OWE,0,6000.00,Mark Anthony Ramirez Solar
DLR-00277,MARS,-6000.00,06-19-23,Loan payback,-6000.00,0.0,Mark Anthony Ramirez Solar
DLR-00278,Solar Movement,0.0,06-22-23,Erroneous payment should be Ohana Energy,0,0.0,Solar Movement LLC 
OUR14492,Solar Movement,855.00,06-22-23,Ohana Energy Dealer Override approved by Josh Morton,0,855.00,Solar Movement LLC 
DLR-00279,Impact Your Energy,-3000.00,06-22-23,Deducting for Cancel paid out to Luxor - this should be charged to Jonathon - Josh M approved,0,-3000.00,Impact Your Energy LLC 
DLR-00280,Solfiniity Power,4776.78,06-22-23,Housing costs paid out to Michael Maness,0,4776.78,Solfinity Power
DLR-00281,Solfiniity Power,-4776.78,06-22-23,- claw back from Solfinity at $.10c/Watt | only charge on Micahel Manes jobs - Per Josh,0,-4776.78,Solfinity Power
DLR-00282,WhyGen,9942.58,06-29-23,Shaky accounts offset to be paid on installment approved by Josh Morton,0,9942.58,WhyGen LLC
DLR-00283,WhyGen,-9942.58,06-29-23,Shaky accounts offset - to be clawed back $2k a week for 15 weeks,0,-9942.58,WhyGen LLC
DLR-00284,United Energy,0.0,07-06-23,Erroneous payment should be United Wholesale Solar,0,0.0,Dynamis Energy LLC dba United Energy Services 
OUR13798,Solar Movement,450.00,07-06-23,Genesis Power Dealer Override approved by Josh Morton,0,450.00,Solar Movement LLC 
OUR13930,Solar Movement,517.50,07-06-23,Genesis Power Dealer Override approved by Josh Morton,0,517.50,Solar Movement LLC 
OUR13946,Solar Movement,495.00,07-06-23,Genesis Power Dealer Override approved by Josh Morton,0,495.00,Solar Movement LLC 
OUR14023,Solar Movement,517.50,07-06-23,Genesis Power Dealer Override approved by Josh Morton,0,517.50,Solar Movement LLC 
OUR14125,Solar Movement,405.00,07-06-23,Genesis Power Dealer Override approved by Josh Morton,0,405.00,Solar Movement LLC 
DLR-00290,Solterian,20000.00,07-07-23,Advance - approved by Josh M,0,20000.00,DBA True Energy Plus LLC 
DLR-00291,Solterian,-20000.00,07-07-23,Advance Payback - $0.10/Watt,0,-20000.00,DBA True Energy Plus LLC 
DLR-00292,Solfiniity Power,2778.00,07-07-23,"Only charge back $.10c/Watt on follownig reps deals: Chris Hughes, Trenten Applebee, Zacharias Ragsdale, Michael Maness",0,2778.00,Solfinity Power
DLR-00293,Solfiniity Power,-2778.00,07-07-23,"Only charge back $.10c/Watt on follownig reps deals: Chris Hughes, Trenten Applebee, Zacharias Ragsdale, Michael Maness",0,-2778.00,Solfinity Power
DLR-00294,MARS,6000.00,07-10-23,Loan from OWE,0,6000.00,Mark Anthony Ramirez Solar
DLR-00295,MARS,-6000.00,07-10-23,Loan payback,-6000.00,0.0,Mark Anthony Ramirez Solar
DLR-00296,Alpha Electric,12783.23,07-11-23,Housing costs for their blitz in July. This advance will be included in the 10 cents/watt payback on installed volume.,0,12783.23,Alpha Electric Group
DLR-00297,Alpha Electric,-12783.23,07-11-23,Chargeback for housing costs for their blitz in July. This advance will be included in the 10 cents/watt payback on installed volume.,0,-12783.23,Alpha Electric Group
DLR-00298,Energy Bros USA,1000.00,07-11-23,Bonus approved by Josh Morton,0,1000.00,Energy Bros USA Inc
DLR-00299,KODESSA,-28000.00,07-11-23,"Needs to be repaid by Andrew, he asked for his dealership to pay his moms payment | OUR04883",0,-28000.00,Kodessa
OUR06443,MARS,-30000.00,07-11-23,OUR06443 - Dealer is paying for this system,-30000.00,0.0,Mark Anthony Ramirez Solar
OUR10368,Avvio,0.0,07-14-23,Lease Buyout Deduction - Dividend rejected M2 due to this adder not being approved. We were forced to have the customer resign for a lower loan amount in order to receive funding. - Approved by Josh M. & Natalie CL,0,0.0,Avvio
DLR-00303,Energy Bros USA,2646.26,07-14-23,OUR12908 Paying out full amount of deal to EB,0,2646.26,Energy Bros USA Inc
DLR-00323,Elate Solar,3600.00,07-17-23,Advance approved by Caleb,0,3600.00,Shaun Schulze
DLR-00324,Elate Solar,-3600.00,07-17-23,Advance Payback at .10c per watt installed,600.00,0.0,Shaun Schulze
OUR14059,Solar Movement,202.50,07-20-23,Genesis Power Dealer Override approved by Josh Morton,0,202.50,Solar Movement LLC 
OUR14114,Solar Movement,405.00,07-20-23,Genesis Power Dealer Override approved by Josh Morton,0,405.00,Solar Movement LLC 
OUR14273,Solar Movement,270.00,07-20-23,Genesis Power Dealer Override approved by Josh Morton,0,270.00,Solar Movement LLC 
OUR14398,Solar Movement,427.50,07-20-23,Genesis Power Dealer Override approved by Josh Morton,0,427.50,Solar Movement LLC 
OUR14522,Solar Movement,225.00,07-20-23,Genesis Power Dealer Override approved by Josh Morton,0,225.00,Solar Movement LLC 
OUR14882,Solar Movement,495.00,07-20-23,Genesis Power Dealer Override approved by Josh Morton,0,495.00,Solar Movement LLC 
OUR15488,Solar Movement,270.00,07-20-23,Genesis Power Dealer Override approved by Josh Morton,0,270.00,Solar Movement LLC 
DLR-00311,Light Energy,2600.00,07-21-23,Monthly bonus for July 2023 | Office space approved by Josh Morton,0,2600.00,Schaper Cluff Solar LLC dba Light Energy 
DLR-00318,Valley Voltage,4000.00,07-21-23,Erroneous Payment should be Valley Energy,0,4000.00,Valley Voltage LLC
DLR-00319,Clean Skies,0.0,07-24-23,"Erroneous Dealer, should be Elevate LLC",0,0.0,Clean Skies Technologies
OUR09905,EZ,3538.32,07-24-23,Paying out 12 mo check to the dealer instead per Josh M instruction,0,3538.32,EZ Energy
DLR-00314,Clean Skies,7484.08,07-28-23,Advance processed by Caleb,0,7484.08,Clean Skies Technologies
DLR-00315,Clean Skies,-7484.08,07-28-23,Advance processed by Caleb - Payback at $0.10/Watt,0,-7484.08,Clean Skies Technologies
DLR-00316,Good Energy,0.0,07-30-23,"Erroneous Dealer, should be Good 3nergy",0,0.0,Good Energy Network LLC 
DLR-00317,Good Energy,0.0,07-30-23,"Erroneous Dealer, should be Good 3nergy",0,0.0,Good Energy Network LLC 
OUR14512,Solar Movement,450.00,07-30-23,Ohana Energy Dealer Override approved by Josh Morton,0,450.00,Solar Movement LLC 
DLR-00321,MARS,5000.00,07-31-23,Advance approved by Caleb,0,5000.00,Mark Anthony Ramirez Solar
DLR-00322,MARS,-5000.00,08-01-23,Advance Payback at .10c per watt installed,-5000.00,0.0,Mark Anthony Ramirez Solar
DLR-00323,Sunvision,0.0,08-01-23,"Erroneous Dealer, should be AEP Solar",0,0.0,Sunvision LLC
OUR13187,Energy Bros USA,-2000.00,08-03-23,EB covering the M1 down payment for HO - Per Natalie,0,-2000.00,Energy Bros USA Inc
DLR-00324,Alpha PWR,0.0,08-07-23,"Erroneous Dealer, should be Elevate Solar",0,0.0,Alpha PWR LLC
OUR13732,EZ,-15822.19,08-07-23,"OWE will clawback the whole commission for this account, approved by Natalie C.",0,-15822.19,EZ Energy
DLR-00331,Light Energy,2600.00,08-07-23,Monthly bonus for August 2023 | Office space approved by Josh Morton,0,2600.00,Schaper Cluff Solar LLC dba Light Energy 
OUR15978,Solar Movement,427.50,08-09-23,Light City Dealer Override approved by Josh Morton,0,427.50,Solar Movement LLC 
OUR15741,Solar Movement,450.00,08-09-23,Light City Dealer Override approved by Josh Morton,0,450.00,Solar Movement LLC 
OUR15623,Solar Movement,900.00,08-09-23,Light City Dealer Override approved by Josh Morton,0,900.00,Solar Movement LLC 
OUR15519,Solar Movement,247.50,08-09-23,Ohana Energy Dealer Override approved by Josh Morton,0,247.50,Solar Movement LLC 
DLR-00336,World Energy Direct,1400.00,08-09-23,Setter Pay for Abdias Arevalo,0,1400.00,World Energy Direct LLC
DLR-00337,Valley Voltage,-4000.00,08-10-23,Erroneous Payment should be Valley Energy,0,-4000.00,Valley Voltage LLC
DLR-00598,Solfiniity Power,3254.00,08-10-23,Commission OR $0.01/Watt on Solfinity previous volume,0,3254.00,Solfinity Power
DLR-00338,Alpha Electric,14500.00,08-14-23,Vegas Incentive Payment (This is a bonus payment and will not be required to be paid back) per Josh M,0,14500.00,Alpha Electric Group
OUR05841,EZ,16560.00,08-14-23,Covering Negative chargeback per Josh M,0,16560.00,EZ Energy
DLR-00340,Grid Acquisitions,35000.00,08-14-23,Advance approved by Caleb,0,35000.00,Grid Acquisitions LLC
DLR-00341,Grid Acquisitions,-35000.00,08-14-23,All owed overrides moving forward are to go towards repayment of this advance.,0,-35000.00,Grid Acquisitions LLC
DLR-00344,Clean Skies,3750.00,08-15-23,Covering Air BnB for Clean Skies Yuma Blitz approved by Caleb,0,3750.00,Clean Skies Technologies
DLR-00345,Clean Skies,-3750.00,08-15-23,Advance Payback at .10c per watt installed,0,-3750.00,Clean Skies Technologies
OUR15799,Solar Movement,382.50,08-16-23,Light City Dealer Override approved by Josh Morton,0,382.50,Solar Movement LLC 
OUR15805,Solar Movement,405.00,08-16-23,Genesis Power Dealer Override approved by Josh Morton,0,405.00,Solar Movement LLC 
OUR15784,Solar Movement,300.00,08-16-23,Genesis Power Dealer Override approved by Josh Morton,0,300.00,Solar Movement LLC 
OUR15701,Solar Movement,405.00,08-16-23,Genesis Power Dealer Override approved by Josh Morton,0,405.00,Solar Movement LLC 
OUR15689,Solar Movement,607.50,08-16-23,Genesis Power Dealer Override approved by Josh Morton,0,607.50,Solar Movement LLC 
OUR15666,Solar Movement,315.00,08-16-23,Genesis Power Dealer Override approved by Josh Morton,0,315.00,Solar Movement LLC 
OUR15656,Solar Movement,450.00,08-16-23,Genesis Power Dealer Override approved by Josh Morton,0,450.00,Solar Movement LLC 
OUR15524,Solar Movement,720.00,08-16-23,Genesis Power Dealer Override approved by Josh Morton,0,720.00,Solar Movement LLC 
OUR15881,World Energy Direct,-2000.00,08-16-23,Paid out to WED when should have been paid out to MARS,0,-2000.00,World Energy Direct LLC
OUR11680,S&J Garcia,0.0,08-23-23,SR Steve Rawleigh's paid canceled account,0,0.0,S&J Garcia Associates LLC
OUR16024,Solar Movement,225.00,08-24-23,Genesis Power Dealer Override approved by Josh Morton,0,225.00,Solar Movement LLC 
OUR15960,Solar Movement,540.00,08-24-23,Genesis Power Dealer Override approved by Josh Morton,0,540.00,Solar Movement LLC 
OUR15958,Solar Movement,180.00,08-24-23,Genesis Power Dealer Override approved by Josh Morton,0,180.00,Solar Movement LLC 
OUR15786,Solar Movement,337.50,08-24-23,Genesis Power Dealer Override approved by Josh Morton,0,337.50,Solar Movement LLC 
OUR15578,Solar Movement,500.00,08-24-23,Genesis Power Dealer Override approved by Josh Morton,0,500.00,Solar Movement LLC 
OUR15543,Solar Movement,225.00,08-24-23,Genesis Power Dealer Override approved by Josh Morton,0,225.00,Solar Movement LLC 
OUR15406,Solar Movement,360.00,08-24-23,Genesis Power Dealer Override approved by Josh Morton,0,360.00,Solar Movement LLC 
OUR15388,Solar Movement,427.50,08-24-23,Genesis Power Dealer Override approved by Josh Morton,0,427.50,Solar Movement LLC 
OUR16804,Tycho Energy,-2000.00,08-24-23,Account transferred to Spartan Solar; M1 payment chargeback,0,-2000.00,Tycho Energy
OUR16822,Tycho Energy,-2000.00,08-24-23,Account transferred to Spartan Solar; M1 payment chargeback,0,-2000.00,Tycho Energy
OUR16948,Tycho Energy,-2000.00,08-24-23,Account transferred to Spartan Solar; M1 payment chargeback,0,-2000.00,Tycho Energy
OUR16911,Tycho Energy,-2000.00,08-24-23,Account transferred to Spartan Solar; M1 payment chargeback,0,-2000.00,Tycho Energy
OUR16936,Tycho Energy,-2000.00,08-24-23,Account transferred to Spartan Solar; M1 payment chargeback,0,-2000.00,Tycho Energy
OUR16945,Tycho Energy,-2000.00,08-24-23,Account transferred to Spartan Solar; M1 payment chargeback,0,-2000.00,Tycho Energy
OUR14922,Energy Bros USA,0.0,08-25-23,Covering chargeback on this account - should not have been charged. back,0,0.0,Energy Bros USA Inc
DLR-00377,Energy Bros USA,2000.00,08-25-23,Giving back the M2 EB covered for this HO OUR13187 - Per Natalie,0,2000.00,Energy Bros USA Inc
OUR16811,Revolve Solutions,0.0,08-25-23,Reimbursement of $1000 sent by Revolve to Craig & Andrew,0,0.0,Revolve Solutions LLC
DLR-00379,Revolve Solutions,0.0,08-25-23,Reimbursement of $500 sent by Revolve to Craig,0,0.0,Revolve Solutions LLC
OUR16820,Revolve Solutions,0.0,08-25-23,Reimbursement of $1000 sent by Revolve to Craig,0,0.0,Revolve Solutions LLC
OUR16862,Revolve Solutions,0.0,08-25-23,Reimbursement of $1000 sent by Revolve to Craig,0,0.0,Revolve Solutions LLC
DLR-00385,Omni,19259.31,09-01-23,"Erroneous payment, should be paid to Alpha Electric",0,19259.31,Omni
DLR-00386,Omni,-19259.31,09-01-23,"Erroneous payment, should be paid to Alpha Electric",-19259.31,0.0,Omni
DLR-00387,Alpha Electric,19259.31,09-06-23,Advance | Housing for September approved by Caleb,0,19259.31,Alpha Electric Group
DLR-00388,Alpha Electric,-19259.31,09-06-23,Advance Payback at .10c per watt installed,0,-19259.31,Alpha Electric Group
DLR-00389,Juggernaut,-17534.04,09-06-23,To transfer Juggernaut's balance owed to DLR-OTH 00389 | Debt repayment from Mamdeba's salary - LINK,-13184.25,-4349.79,Juggernaut
DLR-00690,Juggernaut,17534.04,09-06-23,To transfer Juggernaut's balance owed to DLR-OTH 00389 | Debt repayment from Mamdeba's salary - LINK,0,17534.04,Juggernaut
DLR-00390,MARS,8000.00,09-09-23,8k advance,0,8000.00,Mark Anthony Ramirez Solar
DLR-00391,MARS,-8000.00,09-09-23,Repayment of DLR-00390,-8000.00,0.0,Mark Anthony Ramirez Solar
DLR-00392,Ethical Entrepreneur,1500.00,09-11-23,Blitz Advance approved by Caleb | payback at .10c/Watt,0,1500.00,Ethical Entrepreneur LLC
DLR-00393,Ethical Entrepreneur,-1500.00,09-11-23,Blitz Advance approved by Caleb | payback at .10c/Watt,0,-1500.00,Ethical Entrepreneur LLC
DLR-00394,Solfiniity Power,2807.00,09-12-23,Advances on Solfinitys balance to be paid back at $.10/watt on installs for projects sold in NM after June 22nd,0,2807.00,Solfinity Power
DLR-00395,Solfiniity Power,-2807.00,09-12-23,Payback on Solfinitys balance to be paid back at $.10/watt on installs for projects sold in NM after June 22nd,0,-2807.00,Solfinity Power
OUR13986,WhyGen,1000.00,09-12-23,Credit approved by Josh to cover HO M1 split - refernece email in comm inbox approved by Josh Morton,0,1000.00,WhyGen LLC
DLR-00570,Light Energy,5001.00,09-16-23,One time override payment to sales partner per Josh Morton,0,5001.00,Schaper Cluff Solar LLC dba Light Energy 
DLR-00397,Light Energy,2600.00,09-18-23,Monthly bonus for September 2023 | Office space approved by Josh Morton,0,2600.00,Schaper Cluff Solar LLC dba Light Energy 
OUR14889,Solar Movement,292.50,09-20-23,Genesis Power Dealer Override approved by Josh Morton,0,292.50,Solar Movement LLC 
OUR14106,Solar Movement,315.00,09-20-23,Genesis Power Dealer Override approved by Josh Morton,0,315.00,Solar Movement LLC 
OUR15645,Solar Movement,340.00,09-20-23,Genesis Power Dealer Override approved by Josh Morton,0,340.00,Solar Movement LLC 
OUR14020,Solar Movement,337.50,09-20-23,Genesis Power Dealer Override approved by Josh Morton,0,337.50,Solar Movement LLC 
OUR15498,Solar Movement,450.00,09-20-23,Genesis Power Dealer Override approved by Josh Morton,0,450.00,Solar Movement LLC 
OUR15533,Solar Movement,382.50,09-20-23,Genesis Power Dealer Override approved by Josh Morton,0,382.50,Solar Movement LLC 
OUR14903,Solar Movement,360.00,09-20-23,Genesis Power Dealer Override approved by Josh Morton,0,360.00,Solar Movement LLC 
OUR15544,Solar Movement,360.00,09-20-23,Genesis Power Dealer Override approved by Josh Morton,0,360.00,Solar Movement LLC 
OUR14598,Solar Movement,450.00,09-20-23,Genesis Power Dealer Override approved by Josh Morton,0,450.00,Solar Movement LLC 
OUR15690,Solar Movement,810.00,09-20-23,Genesis Power Dealer Override approved by Josh Morton,0,810.00,Solar Movement LLC 
OUR14947,Solar Movement,607.50,09-20-23,Genesis Power Dealer Override approved by Josh Morton,0,607.50,Solar Movement LLC 
OUR15421,Solar Movement,697.50,09-20-23,Genesis Power Dealer Override approved by Josh Morton,0,697.50,Solar Movement LLC 
OUR15514,Solar Movement,780.00,09-20-23,Genesis Power Dealer Override approved by Josh Morton,0,780.00,Solar Movement LLC 
OUR14117,Solar Movement,270.00,09-20-23,Genesis Power Dealer Override approved by Josh Morton,0,270.00,Solar Movement LLC 
OUR15639,Solar Movement,247.50,09-20-23,Genesis Power Dealer Override approved by Josh Morton,0,247.50,Solar Movement LLC 
OUR15570,Solar Movement,540.00,09-20-23,Genesis Power Dealer Override approved by Josh Morton,0,540.00,Solar Movement LLC 
OUR14844,Solar Movement,742.50,09-20-23,Genesis Power Dealer Override approved by Josh Morton,0,742.50,Solar Movement LLC 
OUR14898,Solar Movement,697.50,09-20-23,Genesis Power Dealer Override approved by Josh Morton,0,697.50,Solar Movement LLC 
OUR15433,Solar Movement,700.00,09-20-23,Genesis Power Dealer Override approved by Josh Morton,0,700.00,Solar Movement LLC 
OUR15653,Solar Movement,292.50,09-20-23,Genesis Power Dealer Override approved by Josh Morton,0,292.50,Solar Movement LLC 
OUR15552,Solar Movement,382.50,09-20-23,Genesis Power Dealer Override approved by Josh Morton,0,382.50,Solar Movement LLC 
