DLR-00041,SSS,16000.0,03-10-21,16k for a deal to keep relationship in 2021,0,16000.0,Sun Solar Solutions Inc
OUR19212,ASAP Solar Pros,-2000.00,01-11-24,M1 payment that was sent to I Am Solar SR Edmundo Hierro that we will not be charged back from prevous dealer and SR,0,-2000.00,"ASAP Solar Pros Inc, DBA Systematic Solar"
DLR-00581,JM Solar,-1000.00,01-11-24,Advance Payback at .10c per watt installed,0,-1000.00,JM Solar LLC 
DLR-00580,JM Solar,1000.00,01-11-24,Advances approved by Josh Morton,0,1000.00,JM Solar LLC 
DLR-00587,OWE-JG,-8393.75,01-12-24,Leadership Budget Allocation for January 2024,0,-8393.75,Jeruash Gallifant Team (Eagles)
OUR18529,Energy Bros USA,570.30,01-12-24,"Energy Bros Q4 Bonus, 2023",0,570.30,Energy Bros USA Inc
OUR18966,Energy Bros USA,637.18,01-12-24,"Energy Bros Q4 Bonus, 2023",0,637.18,Energy Bros USA Inc
OUR19099,Energy Bros USA,638.44,01-12-24,"Energy Bros Q4 Bonus, 2023",0,638.44,Energy Bros USA Inc
OUR18946,Energy Bros USA,975.00,01-12-24,"Energy Bros Q4 Bonus, 2023",0,975.00,Energy Bros USA Inc
OUR18657,WhyGen,1207.61,01-12-24,10% cancellation fee paid by HO and 50% of it goes to the dealer per Management,0,1207.61,WhyGen LLC
DLR-00588,MARS,14211.00,01-16-24,January OR,0,14211.00,Mark Anthony Ramirez Solar
OUR20045,Brite Marketing,2200.00,01-17-24,Customer canceled due to OWE missing multiple site surveys,0,2200.00,Brite Marketing LLC 
OUR18471,STIA,2052.60,01-18-24,10% cancellation fee paid by HO and 50% of it goes to the dealer per Management,0,2052.60,STIA
OUR19053,Alpha Electric,2295.00,01-22-24,Original Dealer payout at $300/KW | Saved deal by Private Grid LLC,0,2295.00,Alpha Electric Group
OUR14845,Sun Source,-4018.10,01-25-24,Marketing Fee will be split between Sunsource and Clean Skies per agreement stated by the sales rep,0,-4018.10,Sun Source Energy
OUR14845,Clean Skies,4018.10,01-25-24,Marketing Fee will be split between Sunsource and Clean Skies per agreement stated by the sales rep,0,4018.10,Clean Skies Technologies
DLR-00595,World Energy Direct,-250.00,01-29-24,WED Setter sit and set payments for the month of January 2024,-250.00,0.0,World Energy Direct LLC
OUR18919,PowerConnect,1247.50,01-29-24,10% cancellation fee paid by HO and 50% of it goes to the dealer per Management,0,1247.50,Power Connections LLC
DLR-00597,Energy Bros USA,-4542.00,01-31-24,Outstanding Balance of terminated sales rep Ramon Roybal; Advances were approved by Matthew Sessa,0,-4542.00,Energy Bros USA Inc
DLR-00599,OWE-JG,-13940.00,02-05-24,Leadership Budget Allocation for February 2024,0,-13940.00,Jeruash Gallifant Team (Eagles)
DLR-00601,Light Energy,2600.00,02-08-24,Monthly bonus for February 2024 | Office space approved by Josh Morton,0,2600.00,Schaper Cluff Solar LLC dba Light Energy 
DLR-00602,World Energy Direct,-1075.00,02-12-24,WED Setter sit and set payments for the month of February 2024,-1075.00,0.0,World Energy Direct LLC
DLR-00605,Energy Bros USA,0.0,02-19-24,"To remit all account receivables and payment intangibles up to $136,035.00 payable to Flex under 9-406 UCC Lien to Revenued LLC. ",0,0.0,Energy Bros USA Inc
OUR21149,OWE-JG,0.0,02-19-24,Reimbursement - Welcome baskets additional to the fairytale brownies for the eagles,0,0.0,Jeruash Gallifant Team (Eagles)
OUR20167,OWE-JG,0.0,02-19-24,Reimbursement - Welcome baskets additional to the fairytale brownies for the eagles,0,0.0,Jeruash Gallifant Team (Eagles)
OUR17891,OWE-JG,0.0,02-19-24,Reimbursement - Welcome baskets additional to the fairytale brownies for the eagles,0,0.0,Jeruash Gallifant Team (Eagles)
OUR20041,Valley Energy,488.75,02-19-24,Rivera Vega Enterprises Dealer Override approved by Josh Morton,0,488.75,Valley Energy Consoltants LLC 
OUR20899,Valley Energy,595.00,02-19-24,Rivera Vega Enterprises Dealer Override approved by Josh Morton,0,595.00,Valley Energy Consoltants LLC 
OUR18063,Alpha Electric,2805.00,02-19-24,Original Dealer payout at $300/KW | Saved deal by Private Grid LLC,0,2805.00,Alpha Electric Group
DLR-00614,Pueblo Home Solutions,-15000.00,02-20-24,Advance Paybackb at 0.25c per watt at install,-15000.00,0.0,Pueblo Home Solutions LLC
OUR18950,Solar Movement,510.00,02-20-24,Light City Dealer Override approved by Josh Morton,0,510.00,Solar Movement LLC 
DLR-00613,Pueblo Home Solutions,15000.00,02-20-24,Advance payment requested by Jeraush G. and cofirmed by Mark R. that we are good to process the payment.,0,15000.00,Pueblo Home Solutions LLC
DLR-00622,Solfiniity Power,-13000.00,02-22-24,Advance Payback approved by Josh Morton,-13000.00,0.0,Solfinity Power
DLR-00615,Solfiniity Power,13000.00,02-22-24,Advance approved by Josh Morton,0,13000.00,Solfinity Power
DLR-00617,Energy Bros USA,-8700.00,02-23-24,"To collect 0.10 per watt on installed projects | Isaac Sandoval only agreed to let Matt keep the $6,300 DP",-4957.50,-3742.50,Energy Bros USA Inc
OUR20417,OWE-JG,0.0,02-23-24,Reimbursement - Welcome baskets additional to the fairytale brownies for the eagles,0,0.0,Jeruash Gallifant Team (Eagles)
DLR-00618,MARS,11147.55,02-24-24,FEB OR,0,11147.55,Mark Anthony Ramirez Solar
DLR-00620,Switch up Solar,-7500.00,02-27-24,Advance payback on OUR20172 Martha Downing project,-6480.00,-1020.00,Switch up Solar LLC
DLR-00619,Switch up Solar,7500.00,02-27-24,Advance payment on OUR20172 Martha Downing project,0,7500.00,Switch up Solar LLC
DLR-00621,PowerConnect,-258681.94,02-28-24,Payoff amount requested by various escalated customers; to be paid by .05/watt on installed projects,-224670.69,-34011.25,Power Connections LLC
DLR-00624,Peak Power,-6000.00,03-04-24,Advance Payback as soons as fund is available approved by Josh Morton,0,-6000.00,Peak Power
DLR-00625,World Energy Direct,-5775.00,03-04-24,WED Setter sit and set payments for the month of March 2024,-5775.00,0.0,World Energy Direct LLC
DLR-00623,Peak Power,6000.00,03-04-24,Advance approved by Josh Morton,0,6000.00,Peak Power
DLR-00633,Brite Marketing,-50000.00,03-06-24,"Advance Payback approved by Josh Morton to be paid back at 0.10c/watt on installed projects (starting on May 6, 2024)",-21873.00,-28127.00,Brite Marketing LLC 
OUR18240,WhyGen,-12000.00,03-06-24,Rebate payback that was sent to the HO which was approved by Josh Morton | This will be paid back .10c/watt on installed projects of Tommy Nguyen,-11160.00,-840.00,WhyGen LLC
OUR17051,Sun Source,-1595.00,03-06-24,Marketing Fee will be split between Sunsource and Clean Skies per agreement stated by the sales rep,0,-1595.00,Sun Source Energy
DLR-00637,ROMAN,600.00,03-06-24,For golf event that was set up by their AE - Josh Morton,0,600.00,Roman Family Enterprises LLC
OUR17051,Clean Skies,1595.00,03-06-24,Marketing Fee will be split between Sunsource and Clean Skies per agreement stated by the sales rep,0,1595.00,Clean Skies Technologies
OUR19359,STIA,1785.00,03-06-24,Original Dealer payout at $300/KW | Saved deal by Private Grid LLC,0,1785.00,STIA
OUR20873,PowerConnect,2520.00,03-06-24,Original Dealer payout at $300/KW | Saved deal by Private Grid LLC,0,2520.00,Power Connections LLC
OUR17124,ROMAN,3825.00,03-06-24,Original Dealer payout at $300/KW | Saved deal by Private Grid LLC,0,3825.00,Roman Family Enterprises LLC
OUR18240,Energy Bros USA,12000.00,03-06-24,"Rebate sent to the HO approved by Josh Morton | The primary sales rep, Tom Nguyen is now working at WhyGen | Adjustment - to transfer the chargeback to WhyGen Solar.",0,12000.00,Energy Bros USA Inc
DLR-00632,Brite Marketing,50000.00,03-06-24,Advance approved by Josh Morton to be paid back at 0.10c/watt,0,50000.00,Brite Marketing LLC 
DLR-00640,OWE-JG,-10236.25,03-07-24,Leadership Budget Allocation for March 2024,0,-10236.25,Jeruash Gallifant Team (Eagles)
DLR-00639,Sunder Energy,-3243.35,03-07-24,Advance Payback approved by Josh Morton to be paid back at 0.10c/watt (the claw back will only apply to the projects sold during the blitz),0,-3243.35,Sunder Energy LLC
OUR20193,Extensive Solar,2000.00,03-07-24,"OWE will cover the chargeback for this account, approved by Natalie C. | Due to mix up on roof quotes and the late catch on install day for roof work",0,2000.00,Extensive Solar Solutions LLC
DLR-00638,Sunder Energy,3243.35,03-07-24,For Blitz House - Advance Payback approved by Josh Morton to be paid back at 0.10c/watt,0,3243.35,Sunder Energy LLC
DLR-00641,MARS,12223.15,03-08-24,MAR OR,0,12223.15,Mark Anthony Ramirez Solar
DLR-00672,Solfiniity Power,-8957.33,03-11-24,Advance approved by Josh Morton; To be paid back .10c per watt at install,-8957.33,0.0,Solfinity Power
DLR-00671,Solfiniity Power,8957.33,03-11-24,Advance approved by Josh Morton; To be paid back .10c per watt at install,0,8957.33,Solfinity Power
DLR-00644,New Era Roofs & Solar,-5193.58,03-12-24,Advance payback for the Air BnB Reimbursement at .10c per watt on installed projects approved by Josh Morton,0,-5193.58,New Era Roofs and Solar
DLR-00643,New Era Roofs & Solar,5193.58,03-12-24,Advance - Air BnB Reimbursement approved by Josh Morton,0,5193.58,New Era Roofs and Solar
OUR20293,Alpha Electric,2422.50,03-18-24,Original Dealer payout at $300/KW | Saved deal by Private Grid LLC,0,2422.50,Alpha Electric Group
OUR22084,Sunder Energy,-2000.00,03-19-24,The project was reassigned to Roman Family Enterprises per Josh Morton instruction via email.,0,-2000.00,Sunder Energy LLC
OUR15682,Solar Movement,787.50,03-19-24,Light City Dealer Override approved by Josh Morton,0,787.50,Solar Movement LLC 
DLR-00631,Alpha Electric,-160000.00,03-22-24,Advance Payback approved by Josh Morton to be paid back at 0.10c/watt on installed projects,-64277.62,-95722.38,Alpha Electric Group
DLR-00630,Alpha Electric,160000.00,03-22-24,Advance approved by Josh Morton to be paid back at 0.10c/watt on installed projects,0,160000.00,Alpha Electric Group
OUR18981,Alpha Electric,1657.50,03-25-24,Original Dealer payout at $300/KW | Saved deal by Private Grid LLC,0,1657.50,Alpha Electric Group
OUR22302,EZ,1785.00,03-25-24,Original Dealer payout at $300/KW | Saved deal by Private Grid LLC,0,1785.00,EZ Energy
OUR22856,Erik Lively,500.00,03-26-24,"Per Natalie, miscommunication on a competing account,",0,500.00,Erik Lively LLC
DLR-00653,EZ,-49000.00,03-27-24,Advance Payback per Josh Morton to be paid 0.15c/Kw on installed projects,0,-49000.00,EZ Energy
DLR-00651,Peak Solar Energy,-20000.00,03-27-24,Advance Payback per Josh Morton to be paid back at $.10/watt on installed projects.,0,-20000.00,Peak Solar Energy
DLR-00650,Peak Solar Energy,20000.00,03-27-24,Advance Request approved by Josh Morton to be paid back at $.10/watt on installed projects.,0,20000.00,Peak Solar Energy
DLR-00652,EZ,49000.00,03-27-24,Advance Request approved by Josh Mortonto be paid 0.15c/Kw on installed projects,0,49000.00,EZ Energy
OUR06006,PowerConnect,-67261.00,03-29-24,Payoff amount requested by the escalated customer David Estrada; to be paid by .05/watt on installed projects,-47069.75,-20191.25,Power Connections LLC
DLR-00655,World Energy Direct,-1500.00,03-29-24,"Advance repayment to setter team hitting 100 appointments, to be paid back 0.30 per watt on installed projects closed through setter lead projects",-1500.00,0.0,World Energy Direct LLC
DLR-00654,World Energy Direct,1500.00,03-29-24,Advance Payment to setter team hitting 100 appointments per Mark Ramirez's request via email,0,1500.00,World Energy Direct LLC
DLR-00683,Juggernaut,2536.92,03-29-24,Juggernaut Payment on Advances recorded under DLR-OTH 00389 | Debt repayment from Mamdeba's salary - LINK,0,2536.92,Juggernaut
DLR-00657,World Energy Direct,-45150.00,04-03-24,WED Setter sit and set payments for the month of April 2024,-45150.00,0.0,World Energy Direct LLC
DLR-00658,OWE-JG,-4591.25,04-03-24,Leadership Budget Allocation for April 2024,0,-4591.25,Jeruash Gallifant Team (Eagles)
DLR-00660,New Era Roofs & Solar,-3814.79,04-04-24,Advance payback approved by Josh Morton for Air Bnb Housing; to be paid .10/watt on installed projects,0,-3814.79,New Era Roofs and Solar
DLR-00659,New Era Roofs & Solar,3814.79,04-04-24,Advance approved by Josh Morton for Air Bnb Housing; to be paid .10/watt on installed projects,0,3814.79,New Era Roofs and Solar
OUR19677,Energy Bros USA,541.63,04-08-24,"Energy Bros Q1 Bonus, 2024",0,541.63,Energy Bros USA Inc
OUR20792,Energy Bros USA,757.35,04-08-24,"Energy Bros Q1 Bonus, 2024",0,757.35,Energy Bros USA Inc
OUR19357,Energy Bros USA,843.27,04-08-24,"Energy Bros Q1 Bonus, 2024",0,843.27,Energy Bros USA Inc
OUR19632,Energy Bros USA,1230.75,04-08-24,"Energy Bros Q1 Bonus, 2024",0,1230.75,Energy Bros USA Inc
OUR20338,Energy Bros USA,1253.17,04-08-24,"Energy Bros Q1 Bonus, 2024",0,1253.17,Energy Bros USA Inc
OUR19352,Energy Bros USA,1510.75,04-08-24,"Energy Bros Q1 Bonus, 2024",0,1510.75,Energy Bros USA Inc
OUR18557,Energy Bros USA,1599.51,04-08-24,"Energy Bros Q1 Bonus, 2024",0,1599.51,Energy Bros USA Inc
OUR18228,Energy Bros USA,1875.00,04-08-24,"Energy Bros Q1 Bonus, 2024",0,1875.00,Energy Bros USA Inc
DLR-00670,New Era Roofs & Solar,-3536.74,04-09-24,Advance payback approved by Josh Morton for Air Bnb Housing; to be paid .10/watt on installed projects,0,-3536.74,New Era Roofs and Solar
DLR-00669,New Era Roofs & Solar,3536.74,04-09-24,Advance approved by Josh Morton for Air Bnb Housing; to be paid .10/watt on installed projects,0,3536.74,New Era Roofs and Solar
DLR-00674,Peak Power,-7000.00,04-10-24,This can be fully deducted from next weeks payroll.,0,-7000.00,Peak Power
DLR-00673,Peak Power,7000.00,04-10-24,Advance approved by Commissions (less than 30% of current pipeline),0,7000.00,Peak Power
DLR-00676,9 Figures,-4800.00,04-11-24,Advance approved by Josh Morton; To be paid back .10c per watt at install,-1570.00,-3230.00,9 Figures LLC
DLR-00675,9 Figures,4800.00,04-11-24,Advance approved by Josh Morton; To be paid back .10c per watt at install,0,4800.00,9 Figures LLC
OUR21178,Onyx Solar,922.10,04-15-24,10% cancellation fee paid by HO and 50% of it goes to the dealer per Management,0,922.10,Masters Holding Inc. DBA Onyx Solar.
DLR-00681,World Energy Direct,-11085.00,04-16-24,Transferring Scott Clyman's personal advances to WED; to be paid back 0.15 per watt on Scott's personal deals only,-11085.00,0.0,World Energy Direct LLC
OUR23759,S&J Garcia,-3200.00,04-16-24,Per Natalie the cost of the system here will be split between OWE-JG and Steve Rawleigh's pipelines,0,-3200.00,S&J Garcia Associates LLC
OUR23759,OWE-JG,-3200.00,04-16-24,Per Natalie the cost of the system here will be split between OWE-JG and Steve Rawleigh's pipelines,0,-3200.00,Jeruash Gallifant Team (Eagles)
DLR-00682,MARS,12023.84,04-16-24,APRIL ORD,0,12023.84,Mark Anthony Ramirez Solar
DLR-00678,Grid Acquisitions,14391.00,04-16-24,"To offset the chargeback ($14,391.00) amount approved by Caleb",0,14391.00,Grid Acquisitions LLC
DLR-00684,World Energy Direct,-7000.00,04-24-24,Advance Payment requested by Mark Ramirez for Setter Bonus payout approved by Caleb.,-7000.00,0.0,World Energy Direct LLC
DLR-00685,World Energy Direct,-18855.00,05-01-24,WED Setter sit and set payments for the month of May 2024,-18855.00,0.0,World Energy Direct LLC
OUR24089,Custom Construction,-2000.00,05-05-24,M1 should be paid to Onyx not to custom construction,-2000.00,0.0,Solar X LLC aka Custom Contsruction Solutions LLC 
OUR23774,Solterian,-2000.00,05-06-24,The project was reassigned to NuSun per Josh Morton's instruction via email,0,-2000.00,DBA True Energy Plus LLC 
DLR-00689,Alpha Electric,-50000.00,05-07-24,Advance Payback approved by Josh Mortonto be paid back at 0.10c/watt on installed projects,-38750.62,-11249.38,Alpha Electric Group
DLR-00688,Alpha Electric,50000.00,05-07-24,Advance approved by Josh Morton,0,50000.00,Alpha Electric Group
OUR24351,Ohana Energy,-1530.00,05-08-24,"Erroneous payment, should be paid to E&W Holdings",0,-1530.00,Ohana Energy LLC 
OUR21768,Peak Solar Energy,-15000.00,05-09-24,Advance payback by Josh Morton; To be paid back .10c per watt at install after keeping all the commission for OUR21768,0,-15000.00,Peak Solar Energy
DLR-00692,Peak Solar Energy,15000.00,05-09-24,Advance approved by Josh Morton; To be paid back .10c per watt at install after keeping all the commission for OUR21768,0,15000.00,Peak Solar Energy
DLR-00699,Orange Solar,-25000.00,05-10-24,Payback as soon as funds is available,-25000.00,0.0,Orange Solar LLC
OUR19464,Light Energy,-23030.40,05-14-24,To put a temporary adjustment to avoid overpayment since the dealer fee is not calculating accurately.,0,-23030.40,Schaper Cluff Solar LLC dba Light Energy 
DLR-00697,9 Figures,-4200.00,05-14-24,Advance approved by Josh Morton; Clawback the full negative balance they carry when their next M2 payment is due.,0,-4200.00,9 Figures LLC
DLR-00696,9 Figures,4200.00,05-14-24,Advance approved by Josh Morton; Clawback the full negative balance they carry when their next M2 payment is due.,0,4200.00,9 Figures LLC
OUR24631,Ohana Energy,-2000.00,05-15-24,Erroneous Payment that should've paid to CD Oldroyd Investments,0,-2000.00,Ohana Energy LLC 
OUR24415,Ohana Energy,-2000.00,05-15-24,Erroneous Payment that should've paid to CD Oldroyd Investments,0,-2000.00,Ohana Energy LLC 
DLR-00698,Orange Solar,25000.00,05-15-24,Prepayment,25000.00,0.0,Orange Solar LLC
DLR-00708,UNTD,-12852.00,05-17-24,"One-time payment request, advance to Eleven Eleven Securities",0,-12852.00,Elevate LLC 
OUR12796,ROMAN,-2688.00,05-17-24,"Rebate - Dealer owner advised to clawback from RCO instead of Light Energy, start on 5/31 - only clawback $500/week",0,-2688.00,Roman Family Enterprises LLC
OUR24787,Elevate Roofing Pros,-2000.00,05-17-24,Erroneous Payment that should've paid to UNTD,0,-2000.00,"Elevate Roofing Pros, LLC"
OUR20395,ROMAN,-1250.00,05-17-24,Rebate - Dealer owner advised to clawback from RCO instead of Light Energy,0,-1250.00,Roman Family Enterprises LLC
OUR20395,Light Energy,1250.00,05-17-24,Rebate - Dealer owner advised to clawback from RCO instead of Light Energy,0,1250.00,Schaper Cluff Solar LLC dba Light Energy 
OUR12796,Light Energy,2688.00,05-17-24,Rebate - Dealer owner advised to clawback from RCO instead of Light Energy,0,2688.00,Schaper Cluff Solar LLC dba Light Energy 
DLR-00707,UNTD,12852.00,05-17-24,"One-time payment request, advance to Eleven Eleven Securities",0,12852.00,Elevate LLC 
DLR-00711,OWE-JG,-2160.00,05-20-24,Leadership Budget Allocation for May 2024,0,-2160.00,Jeruash Gallifant Team (Eagles)
OUR21896,EZ,2422.50,05-20-24,Original Dealer payout at $300/KW | Saved deal by Private Grid LLC,0,2422.50,EZ Energy
DLR-00709,MARS,5500.00,05-20-24,MAY OR,0,5500.00,Mark Anthony Ramirez Solar
OUR24431,Sunder Energy,-2000.00,05-23-24,Erroneous Payment this should be under Alpha Electric,0,-2000.00,Sunder Energy LLC
DLR-00713,Sunder Energy,-311574.41,05-24-24,Offsetting of Sunder Energy Commission on GoodLeap Projects | For recording purposes only,0,-311574.41,Sunder Energy LLC
DLR-00715,Alpha Electric,-30000.00,05-31-24,Advance payback approved by Josh Morton; To be paid back .10c per watt at install,-21390.63,-8609.37,Alpha Electric Group
DLR-00723,MARS,5678.68,05-31-24,,0,5678.68,Mark Anthony Ramirez Solar
DLR-00714,Alpha Electric,30000.00,05-31-24,Advance approved by Josh Morton; To be paid back .10c per watt at install,0,30000.00,Alpha Electric Group
DLR-00732,World Energy Direct,-11695.00,06-01-24,WED Setter sit and set payments for the month of June 2024,-11695.00,0.0,World Energy Direct LLC
DLR-00717,Instinctive Energy,-6390.00,06-02-24,"Advance payback; Erroneous payment, M1 should only be $2,000 but paid at $7,796 | OUR25257, OUR25316",0,-6390.00,Instinctive Energy LLC
DLR-00716,Instinctive Energy,6390.00,06-02-24,"Advance payment; Erroneous payment, M1 should only be $2,000 but paid at $7,796 | OUR25257, OUR25316",0,6390.00,Instinctive Energy LLC
DLR-00718,Alpha Electric,-10300.00,06-05-24,Payback on the payment for the Authentic Training LLC approved by Josh Morton; To be paid back .10c per watt at install,-1690.63,-8609.37,Alpha Electric Group
OUR21283,UNTD,260.00,06-06-24,Per Irish via Podio SR paid for the AC removal out of his pocket. OWE will shoulder half of the cost which was approved by Dillard to be release via commission,0,260.00,Elevate LLC 
DLR-00722,MARS,-4500.00,06-07-24,Advance payback for advance payment that was approved by Caleb,0,-4500.00,Mark Anthony Ramirez Solar
DLR-00721,MARS,4500.00,06-07-24,Advance approved by Caleb,0,4500.00,Mark Anthony Ramirez Solar
DLR-00725,EZ,-65000.00,06-10-24,Advance payback approved by Josh Morton; To be paid back .10c per watt at install,-51668.50,-13331.50,EZ Energy
DLR-00726,OWE-JG,-3320.00,06-10-24,Leadership Budget Allocation for June 2024,0,-3320.00,Jeruash Gallifant Team (Eagles)
OUR22669,Alpha Electric,3060.00,06-10-24,Original Dealer payout at $300/KW | Saved deal by Private Grid LLC,0,3060.00,Alpha Electric Group
DLR-00720,EZ,65000.00,06-10-24,Advance approved by Josh Morton,0,65000.00,EZ Energy
OUR15472,EZ,-1076.77,06-16-24,Promised rebate sent by OWE on sales rep behalf to customer; to be deducted from Robert Head's commission,0,-1076.77,EZ Energy
OUR13575,EZ,-250.00,06-16-24,Promised rebate sent by OWE on sales rep behalf to customer; to be deducted from Robert Head's commission,0,-250.00,EZ Energy
DLR-00734,Vantage Solar,14179.97,06-19-24,"Per Caleb, no chargeback needs to occur on this account.",14179.97,0.0,Vantage Solar LLC
OUR24738,Alpha Electric,1250.01,06-24-24,10% cancellation fee paid by HO and 50% of it goes to the dealer per Management,0,1250.01,Alpha Electric Group
DLR-00736,JP Ventures,7000.00,06-25-24,Advance approved by Josh Morton; To be paid back .10c per watt at install,0,7000.00,JP Ventures
DLR-00737,JP Ventures,-7000.00,06-25-24,Advance Payback on advance approved by Josh Morton; To be paid back .10c per watt at install,-6480.00,-520.00,JP Ventures
DLR-00738,MARS,9312.54,07-01-24,JUNE OR,0,9312.54,Mark Anthony Ramirez Solar
DLR-00739,MARS,4011.36,07-01-24,Q2 Quarterly Bonus,0,4011.36,Mark Anthony Ramirez Solar
DLR-00740,World Energy Direct,-3230.00,07-01-24,WED Setter sit and set payments for the month of July 2024,230.00,0.0,World Energy Direct LLC
OUR12485,Vantage Solar,6371.90,07-02-24,To offset the chargeback to sales partner per Caleb's approval.,0,6371.90,Vantage Solar LLC
OUR26410,ROMAN,8500.00,07-02-24,"Per management, we will be paying RCO $8,500 commission on this job even though it is in Jeopardy status. Please see notes",0,8500.00,Roman Family Enterprises LLC
DLR-00747,OWE- Dream Watts,-3000.00,07-02-24,Advance payback approved by Jeraush Gallifant,000.00,0.0,OWE- Dream Watts
OUR23648,OWE-JG,2000.00,07-03-24,Heart for the City Foundation reimbursement which was deducted from Cody McGee's commission,0,2000.00,Jeruash Gallifant Team (Eagles)
OUR24651,OWE-JG,2000.00,07-03-24,Heart for the City Foundation reimbursement which was deducted from Shota Suzuki's commission,0,2000.00,Jeruash Gallifant Team (Eagles)
OUR25413,Sunder Energy,-6442.17,07-05-24,Error paying this out to Sunder Energy since this is a Goodleap account,0,-6442.17,Sunder Energy LLC
OUR23663,New Era Roofs & Solar,-2000.00,07-09-24,The project was reassigned to Alpha Electric per dealer request,-2000.00,0.0,New Era Roofs and Solar
DLR-00742,,,,,,,
DLR-00743,,,,,,,
DLR-00750,,,,,,,
DLR-00751,,,,,,,
DLR-00752,,,,,,,
DLR-00753,,,,,,,
DLR-00754,,,,,,,
DLR-00755,,,,,,,
DLR-00756,,,,,,,
DLR-00757,,,,,,,
DLR-00758,,,,,,,
DLR-00759,,,,,,,
DLR-00760,,,,,,,
DLR-00761,,,,,,,
DLR-00762,,,,,,,
DLR-00763,,,,,,,
DLR-00764,,,,,,,
